Entity,Code,Year,above 10$ a day,5.50 - 10$ a day,3.20 - 5.50$ a day,1.9 - 3.20$ a day,below 1.90$ a day
Albania,ALB,1996,363599,1174168,1191920,404492,35821
Albania,ALB,2002,378200,1022054.9999999999,1131855,455365,62525
Albania,ALB,2005,520128.00000000006,1207612,953267,295281,33712
Albania,ALB,2008,607700,1285905,863170,182310,10915
Albania,ALB,2012,565210,1200020,912340,191690,30740
Algeria,DZA,1988,3157356,7276181,8045847.999999999,4527019,1583596
Algeria,DZA,1995,4109580,8863630,9013910,5236680,1676200
Algeria,DZA,2011,8398642,17673599,9315460,1262926,169372
Angola,AGO,2000,1344792,2253924,3705576,3828876,5306832
Angola,AGO,2008,1203329,3277056,5163648,5570560,6545408
Argentina-Urban,,1986,21602304,3488751,1278945,0,0
Argentina-Urban,,1987,20538582,4114169.9999999995,1992549,244699,0
Argentina-Urban,,1991,17550547,7311278,2858414,950872,318890
Argentina-Urban,,1992,18324120,6758124,2934216,839610,603930
Argentina-Urban,,1993,18993578,6452909,2741588,1017620,724306
Argentina-Urban,,1994,18775040,6861280,3079520,991040,693120
Argentina-Urban,,1995,17424080,7114009,3658810,1385165,1267935
Argentina-Urban,,1996,17215000,7092580,4018919.9999999995,1524310,1449190
Argentina-Urban,,1997,18183846,6782838,3970674,1488606,1314036
Argentina-Urban,,1998,17413620,7302590,4191752,1785435,1476603
Argentina-Urban,,1999,17460560,7256760,4401000,1923400,1558280
Argentina-Urban,,2000,16908058,7444962,4525110,2269161,1882710
Argentina-Urban,,2001,15456447,7624466,4598778,2637436,3152874
Argentina-Urban,,2002,10796944,8107882,6107191,4153975,4744009
Argentina-Urban,,2003,15943040,7988700,5112768,2893112,2422380
Argentina-Urban,,2004,18269999,7499401,4812840,2349000,1868760
Argentina-Urban,,2005,20090324,7502596,4140700,2135544,1370836
Argentina-Urban,,2006,22371361,7068208,3371760,1680528,1188144
Argentina-Urban,,2007,23196264,6927815,3507252,1426740,1061928
Argentina-Urban,,2008,24458639,6668544,3169752,1327128,935936
Argentina-Urban,,2009,25615101,6293700,2874900,1258000,958300
Argentina-Urban,,2010,26593245,6714785,2752575,973700,415695
Argentina-Urban,,2011,28280979,6242130,2402860,613980,360050
Argentina-Urban,,2012,28965635,6137600,2228716,721168,306880
Argentina-Urban,,2013,29278044,6331542,2267088,652176,291150
Argentina-Urban,,2014,28124479,7588897,2466784,809168,290672
Argentina-Urban,,2016,30002405,7047572,2165702,731276,233044
Argentina-Urban,,2017,31354578,6361092,2075682,649920,178728
Armenia,ARM,1996,315732,615931,904084,766506,567747
Armenia,ARM,1999,132561,386250,949866,1099731,521591.99999999994
Armenia,ARM,2001,127794.99999999999,348615,878400,1105625,589565
Armenia,ARM,2002,127260.00000000001,371781,947481,1127160,456318
Armenia,ARM,2003,114156,398036,1058510,1106226,343072
Armenia,ARM,2004,208200,559500,1143300,851100,237900
Armenia,ARM,2005,250915.99999999997,681824,1246534,668116,132610
Armenia,ARM,2006,213712,851888,1228992,570096,95312
Armenia,ARM,2007,315854,941409,1124534,467042,81161
Armenia,ARM,2008,323010,1028103,1162836,356475,39576
Armenia,ARM,2009,207213,886941,1241544,498814,55488
Armenia,ARM,2010,225504,827424,1237824,534528,54720
Armenia,ARM,2011,244800,884736,1208160,478656,63647.99999999999
Armenia,ARM,2012,257471.99999999997,996480,1133568,446976,45504
Armenia,ARM,2013,313565,999362,1107448,404889,64736
Armenia,ARM,2014,317190,1070298,1045272,410019,67221
Armenia,ARM,2015,355948,1152524,1018496.0000000001,338720,54312
Armenia,ARM,2016,517132.00000000006,1132084,860232,358576,51976
Armenia,ARM,2017,399945,1064762,1104024,321714,39555
Australia,AUS,1981,14295475,373250,74650,38818,147807
Australia,AUS,1985,15131176,353024,81952,39400,154448
Australia,AUS,1989,16055231,502619.00000000006,84050,43706,124394
Australia,AUS,1995,17358042,395733,95771,84929,135525
Australia,AUS,2001,18781116,341616,95109,46584,145575
Australia,AUS,2003,19302999,298500,51740,47760,199000
Australia,AUS,2004,19729412,199287,58377,0,142923
Australia,AUS,2008,20984375,106250,53125,0,106250
Australia,AUS,2010,21646679,218097,55075,0,110150
Australia,AUS,2014,22912500,296100,56400,58750,176250
Austria,AUT,2003,8020123.999999999,60900,0,20300,18676
Austria,AUT,2004,8089933.999999999,61275,0,18791,0
Austria,AUT,2005,8129594.000000001,61725,18929,0,19752
Austria,AUT,2006,8188127,41350,19848,20675,0
Austria,AUT,2007,8197080,41500,20750,0,40670
Austria,AUT,2008,8196032.000000001,41600,41600,0,40768
Austria,AUT,2009,8175701.999999999,81732,20016,20850,41700
Austria,AUT,2010,8257172.000000001,43472,17556,0,41800
Austria,AUT,2011,8244014,62086,42789,0,41111
Austria,AUT,2012,8263928.999999999,81771,21075,21918,41307
Austria,AUT,2013,8376544.000000001,63600.00000000001,0,26288,13568
Austria,AUT,2014,8443980,42750,42750,0,20520
Austria,AUT,2015,8467200,95904,12096,0,64800
Azerbaijan,AZE,1995,759003,2127054,2784549,1456486,562908
Azerbaijan,AZE,2001,1274892,2535186,2870129,1210012,219781
Azerbaijan,AZE,2002,1881551,4829287,1409325,46569,3268
Azerbaijan,AZE,2003,2227861,4452430,1470701,79008,0
Azerbaijan,AZE,2004,2232066,4808166,1256472,13296,0
Azerbaijan,AZE,2005,2998586,4706790,681268,3356,0
Bangladesh,BGD,1983,417355,3275353,17474602,42434422,27128269
Bangladesh,BGD,1985,1024416,4624245,21819145,43954231,24317961
Bangladesh,BGD,1988,898724,3635277,16197189.000000002,42058174,38190636
Bangladesh,BGD,1991,400389,3014061,14480850,44176582,49148117
Bangladesh,BGD,1995,2292003,6524323,21173744,48010796,43269135
Bangladesh,BGD,2000,2394758,8631645,24881775,49908298,45763523
Bangladesh,BGD,2005,3657463,11689545,32960220,58218235,36904537
Bangladesh,BGD,2010,3925467,14743332,41613029,62001129,29867044
Bangladesh,BGD,2016,5084033,20140625,51573677,62083950,24067715
Belarus,BLR,1993,1159169,5651456,3080192,339968,9216
Belarus,BLR,1995,4372529,4114722.0000000005,1406220,225199,71330
Belarus,BLR,1998,432003,2000909,3695690,2776299,1165099
Belarus,BLR,1999,504509,2365074,3704079,2404191,1052147
Belarus,BLR,2000,689618,2784421,3789406,2006978.0000000002,709578
Belarus,BLR,2001,1326648,3737652,3350382,1202523,312795
Belarus,BLR,2002,1653225,4075323,3057726,880404,203322
Belarus,BLR,2003,1894340,4151280,2861600,755580,137200
Belarus,BLR,2004,2408175,4712239,2169790,408660,31136
Belarus,BLR,2005,3961566,4091010,1361094,210588,35742
Belarus,BLR,2006,5026560,3485760,979200,97920,10560
Belarus,BLR,2007,5915728,2955952,585072,95600,7648
Belarus,BLR,2008,6361275,2661729,457440,49556,0
Belarus,BLR,2009,6489624,2548680,420342,48501,2853
Belarus,BLR,2010,7052968,2113423,307476,16133.000000000002,0
Belarus,BLR,2011,7411222,1817293,236750,4735,0
Belarus,BLR,2012,8081678,1269532,101222,7568,0
Belarus,BLR,2013,8558986,843777,65343,1894,0
Belarus,BLR,2014,8640428,791692,37880,0,0
Belarus,BLR,2015,8376823,1030613.9999999999,82563,0,0
Belarus,BLR,2016,8297300,1135250,67450,0,0
Belarus,BLR,2017,8461047,977628,68472,2853,0
Belgium,BEL,2003,10201464,102762,23874,26988,24912
Belgium,BEL,2004,10343934,53142,0,22924,0
Belgium,BEL,2005,10377296,50304,28296,0,24104
Belgium,BEL,2006,10418125,79125,26375,0,26375
Belgium,BEL,2007,10524763,78662,0,0,26575
Belgium,BEL,2008,10630746,52479,0,26775,0
Belgium,BEL,2009,10666080,109080,0,24840,0
Belgium,BEL,2010,10763750,82840,29430,0,23980
Belgium,BEL,2011,10912980,81770,28730,0,26520
Belgium,BEL,2012,11020926,53424,28938,0,26712
Belgium,BEL,2013,11077144,52546,22360,0,27950
Belgium,BEL,2014,11127046,56050,0,26904,0
Belgium,BEL,2015,11213650,29302,0,27048,0
Belize,BLZ,1993,51620,49520,49280,29400,20180
Belize,BLZ,1994,44540,50480,52360,32860,19760
Belize,BLZ,1995,83622,42693,37632,20244,25809
Belize,BLZ,1996,43764,44751,55209,38430,27846
Belize,BLZ,1997,44154,48576,50072,41998,35200
Belize,BLZ,1998,50071,50186,53567,43171,33005
Belize,BLZ,1999,56664,56136,59688,34104,33408
Benin,BEN,2003,121824,400816,1109952,2217648,3669760
Benin,BEN,2011,262042,680174,1261964,2231614,5024206
Benin,BEN,2015,335386,658075,1522462,2824861,5239216
Bhutan,BTN,2003,52452,116126,171120,170934,109368
Bhutan,BTN,2007,86457,180297,213072,155319,54855
Bhutan,BTN,2012,167550,253199.99999999997,220350,92625,16275.000000000002
Bhutan,BTN,2017,236439,261224.99999999997,215055,85212,12069
Bolivia,BOL,1990,1523606,1924230,1772624,1149736,489804
Bolivia,BOL,1997,1983240,1746353,1617285,1007360,1515762
Bolivia,BOL,1999,1946022,1750520,1361970,1051948,2069540
Bolivia,BOL,2000,1650486,1513710,1720542,1065852,2389410
Bolivia,BOL,2001,1819850,1800300,1798600,1139850,1941400
Bolivia,BOL,2002,1763735,1732595,1818230,1195430,2140010
Bolivia,BOL,2004,2167152,2039778,2139345,1396629,1227096
Bolivia,BOL,2005,2442275,1929169,1831478,1163162,1763916
Bolivia,BOL,2006,2767296,2044384,1813312,1134944,1520064
Bolivia,BOL,2007,2779136,2278816,1888944,1318768,1174336
Bolivia,BOL,2008,3350400,2488320,1811520,888960,1060800
Bolivia,BOL,2009,3753696,2582496,1628944,773968,1020896
Bolivia,BOL,2011,4463424,2767968,1427328,686448,734832
Bolivia,BOL,2012,4718592,2621440,1396736,663552,839680
Bolivia,BOL,2013,5129280,2565680,1433120,558480,713440
Bolivia,BOL,2014,5186016,2740320,1330560,690624,612480
Bolivia,BOL,2015,5185264,2792560,1486864,574592,680720
Bolivia,BOL,2016,5331744,2832489,1350360,605484,769923
Bolivia,BOL,2017,5495165,2824380,1425450,664105,640900
Bosnia and Herzegovina,BIH,2001,2009033,1428076,296322,24882,11687
Bosnia and Herzegovina,BIH,2004,2884896,738234,132678,17388,6804
Bosnia and Herzegovina,BIH,2007,3057093,602069,95004,13572,2262
Bosnia and Herzegovina,BIH,2011,2915838,630252,114390,27306,2214
Botswana,BWA,1985,87453,138375,220047,260637,523487.99999999994
Botswana,BWA,1993,150639,207259,298447,314837,518818
Botswana,BWA,2002,357300,242640,297000,367560,535500
Botswana,BWA,2009,451836,390258,403128,373626,361152
Botswana,BWA,2015,479475,411975,491850,505349.99999999994,361350
Brazil,BRA,1981,25823046,23354851,26257149,22064938,26530018
Brazil,BRA,1982,27065739,23714264,26519852,22051216,27598930
Brazil,BRA,1983,22664057,20728851,25014889,25495441,35976761
Brazil,BRA,1984,22629116,21659683,26679520,26121761,35709919
Brazil,BRA,1985,27190269,25032967,27095291,25005825,31355648
Brazil,BRA,1986,48807404,31023998,26384247,17741852,14542500
Brazil,BRA,1987,38128773,28451782,27872566,21727327,25089552
Brazil,BRA,1988,36935997,27878403,27590401,22622400,28972799
Brazil,BRA,1989,42305393,27856430,27665737,22018167,26844271
Brazil,BRA,1990,35470627,27614815,28824547,25135605,32304405.000000004
Brazil,BRA,1992,31854815,32704895,32519424,25116001,32364863.999999996
Brazil,BRA,1993,35857067,32054519.999999996,32038807,25879311,31300297
Brazil,BRA,1995,52455357,36825874,29343838,22592161,21082769
Brazil,BRA,1996,54354336,35208282,30326950,21652685,23367746
Brazil,BRA,1997,54956402,36090271,29857407,23205675,23440245
Brazil,BRA,1998,56002945,38339302,32604571.999999996,21594572,21628607
Brazil,BRA,1999,53832012,39631149,32116081,24100019,23080736
Brazil,BRA,2001,64238853.00000001,40135948,31657272,21116701,20601225
Brazil,BRA,2002,66006958,41398476,32390968,21780134,18573465
Brazil,BRA,2003,64634422,41678429,33284351,22645769,20237032
Brazil,BRA,2004,66949776,43376953,34601799,21836267,17975203
Brazil,BRA,2005,71571663,44150505,34411976,20635967,16149887
Brazil,BRA,2006,78760468,45608116,32396313,18636387,13608720
Brazil,BRA,2007,84473465,45312317,31328918,16906155,13009143
Brazil,BRA,2008,90604111,46701164,29622429,15264717,10787582
Brazil,BRA,2009,95130692,46308239,29098572,13818409,10544090
Brazil,BRA,2011,104808980,46215298,27260267,11027294,9378168
Brazil,BRA,2012,113537010,45306507,24307873,9847496,7561112
Brazil,BRA,2013,119280220,43659832,22811609,8926281,7732062
Brazil,BRA,2014,123261150,44415676,22483521,8413452,5636196
Brazil,BRA,2015,120342430,45743713,23397055,9535949,6940852
Brazil,BRA,2016,119772520,44790104,23713631,10507090,8866655
Brazil,BRA,2017,120592900,44746204,23796274,10045919,10108707
Bulgaria,BGR,1989,8603832,251304.00000000003,16872,3552,4440
Bulgaria,BGR,1992,7154812,1324554,60634,0,0
Bulgaria,BGR,1994,5854828,2326908,209312,28696,20256
Bulgaria,BGR,1995,4390861,3000688,784653,143811,89987
Bulgaria,BGR,1997,1167555,3836727,2883570,384753,37395
Bulgaria,BGR,2001,3083850,3139119,1194291,432540,160200
Bulgaria,BGR,2003,2453034,3763964,1227684,266854,68464
Bulgaria,BGR,2006,3135760,2755000,894520,397480,417240
Bulgaria,BGR,2007,4447705,2407695,536050,126840.00000000001,31710.000000000004
Bulgaria,BGR,2008,5357597,1498000,393225,149800,91378
Bulgaria,BGR,2009,5432688,1379376,424080,111600,92256
Bulgaria,BGR,2010,5106000,1481480,499500,166500,146520
Bulgaria,BGR,2011,4961985,1562610,459375,205065,160965
Bulgaria,BGR,2012,4953987,1552644,438600,220031,144738
Bulgaria,BGR,2013,5330364,1122488,471823,220281,125043.99999999999
Bulgaria,BGR,2014,5396950,1192744,359556,163172,107578
Burkina Faso,BFA,1994,69722,208184,425206,960396,8156492
Burkina Faso,BFA,1998,156871,253407,538627,1068479,8952617
Burkina Faso,BFA,2003,203665,664124,1619201,2919620,7243390
Burkina Faso,BFA,2009,243754,634366,1915210,3975764,8370906
Burkina Faso,BFA,2014,332451,1023739,2788014,5757207,7688589
Burundi,BDI,1992,0,63392.00000000001,228664,775986,4591958
Burundi,BDI,1998,28474,98421,162797,693280,5207028
Burundi,BDI,2006,23808,105984,417024,1161984,5971200
Burundi,BDI,2013,64284.99999999999,256151.00000000003,741750,1727783,7100031
Cameroon,CMR,1996,571734,981891,2128121,3488406,6639848
Cameroon,CMR,2001,990344,2228274,4187024,4641454,3622904
Cameroon,CMR,2007,1153679,2599920,4390241,4870480,5385680
Cameroon,CMR,2014,2590960,4327904,5375408,4650384,5295344
Canada,CAN,1981,24093241,498000,122010,64740.00000000001,122010
